,timestamp,customer_no,location
501,07:35:00,70,entrance
502,07:36:00,70,fruit
503,07:37:00,70,checkout
504,07:36:00,71,entrance
505,07:37:00,71,spices
506,07:38:00,71,checkout
507,07:36:00,72,entrance
508,07:37:00,72,dairy
509,07:38:00,72,spices
510,07:39:00,72,spices
511,07:40:00,72,checkout
512,07:37:00,73,entrance
513,07:38:00,73,fruit
514,07:39:00,73,spices
515,07:40:00,73,spices
516,07:41:00,73,spices
517,07:42:00,73,spices
518,07:43:00,73,drinks
519,07:44:00,73,drinks
520,07:45:00,73,drinks
521,07:46:00,73,drinks
522,07:47:00,73,drinks
523,07:48:00,73,drinks
524,07:49:00,73,drinks
525,07:50:00,73,drinks
526,07:51:00,73,checkout
527,07:37:00,74,entrance
528,07:38:00,74,fruit
529,07:39:00,74,checkout
530,07:38:00,75,entrance
531,07:39:00,75,drinks
532,07:40:00,75,fruit
533,07:41:00,75,spices
534,07:42:00,75,dairy
535,07:43:00,75,dairy
536,07:44:00,75,dairy
537,07:45:00,75,checkout
538,07:38:00,76,entrance
539,07:39:00,76,fruit
540,07:40:00,76,fruit
541,07:41:00,76,fruit
542,07:42:00,76,fruit
543,07:43:00,76,dairy
544,07:44:00,76,dairy
545,07:45:00,76,checkout
546,07:39:00,77,entrance
547,07:40:00,77,dairy
548,07:41:00,77,dairy
549,07:42:00,77,dairy
550,07:43:00,77,checkout
551,07:39:00,78,entrance
552,07:40:00,78,spices
553,07:41:00,78,fruit
554,07:42:00,78,checkout
555,07:40:00,79,entrance
556,07:41:00,79,drinks
557,07:42:00,79,checkout
558,07:40:00,80,entrance
559,07:41:00,80,dairy
560,07:42:00,80,dairy
561,07:43:00,80,dairy
562,07:44:00,80,checkout
563,07:41:00,81,entrance
564,07:42:00,81,dairy
565,07:43:00,81,dairy
566,07:44:00,81,dairy
567,07:45:00,81,dairy
568,07:46:00,81,dairy
569,07:47:00,81,dairy
570,07:48:00,81,dairy
571,07:49:00,81,dairy
572,07:50:00,81,dairy
573,07:51:00,81,dairy
574,07:52:00,81,checkout
575,07:41:00,82,entrance
576,07:42:00,82,drinks
577,07:43:00,82,fruit
578,07:44:00,82,spices
579,07:45:00,82,checkout
580,07:42:00,83,entrance
581,07:43:00,83,fruit
582,07:44:00,83,fruit
583,07:45:00,83,checkout
584,07:42:00,84,entrance
585,07:43:00,84,fruit
586,07:44:00,84,fruit
587,07:45:00,84,fruit
588,07:46:00,84,fruit
589,07:47:00,84,fruit
590,07:48:00,84,checkout
591,07:43:00,85,entrance
592,07:44:00,85,dairy
593,07:45:00,85,dairy
594,07:46:00,85,checkout
595,07:43:00,86,entrance
596,07:44:00,86,dairy
597,07:45:00,86,dairy
598,07:46:00,86,dairy
599,07:47:00,86,dairy
600,07:48:00,86,dairy
601,07:49:00,86,dairy
602,07:50:00,86,drinks
603,07:51:00,86,spices
604,07:52:00,86,dairy
605,07:53:00,86,dairy
606,07:54:00,86,dairy
607,07:55:00,86,dairy
608,07:56:00,86,dairy
609,07:57:00,86,checkout
610,07:44:00,87,entrance
611,07:45:00,87,spices
612,07:46:00,87,checkout
613,07:44:00,88,entrance
614,07:45:00,88,dairy
615,07:46:00,88,dairy
616,07:47:00,88,dairy
617,07:48:00,88,dairy
618,07:49:00,88,checkout
619,07:45:00,89,entrance
620,07:46:00,89,spices
621,07:47:00,89,checkout
622,07:45:00,90,entrance
623,07:46:00,90,fruit
624,07:47:00,90,checkout
625,07:46:00,91,entrance
626,07:47:00,91,spices
627,07:48:00,91,drinks
628,07:49:00,91,fruit
629,07:50:00,91,fruit
630,07:51:00,91,fruit
631,07:52:00,91,fruit
632,07:53:00,91,checkout
633,07:46:00,92,entrance
634,07:47:00,92,fruit
635,07:48:00,92,spices
636,07:49:00,92,dairy
637,07:50:00,92,dairy
638,07:51:00,92,fruit
639,07:52:00,92,spices
640,07:53:00,92,spices
641,07:54:00,92,spices
642,07:55:00,92,spices
643,07:56:00,92,spices
644,07:57:00,92,dairy
645,07:58:00,92,dairy
646,07:59:00,92,dairy
647,08:00:00,92,dairy
648,08:01:00,92,drinks
649,08:02:00,92,drinks
650,08:03:00,92,checkout
651,07:47:00,93,entrance
652,07:48:00,93,spices
653,07:49:00,93,checkout
654,07:47:00,94,entrance
655,07:48:00,94,fruit
656,07:49:00,94,checkout
657,07:48:00,95,entrance
658,07:49:00,95,dairy
659,07:50:00,95,dairy
660,07:51:00,95,dairy
661,07:52:00,95,checkout
662,07:48:00,96,entrance
663,07:49:00,96,dairy
664,07:50:00,96,checkout
665,07:49:00,97,entrance
666,07:50:00,97,fruit
667,07:51:00,97,checkout
668,07:49:00,98,entrance
669,07:50:00,98,drinks
670,07:51:00,98,fruit
671,07:52:00,98,fruit
672,07:53:00,98,fruit
673,07:54:00,98,drinks
674,07:55:00,98,drinks
675,07:56:00,98,checkout
676,07:50:00,99,entrance
677,07:51:00,99,spices
678,07:52:00,99,dairy
679,07:53:00,99,dairy
680,07:54:00,99,dairy
681,07:55:00,99,checkout
682,07:50:00,100,entrance
683,07:51:00,100,fruit
684,07:52:00,100,spices
685,07:53:00,100,drinks
686,07:54:00,100,drinks
687,07:55:00,100,drinks
688,07:56:00,100,drinks
689,07:57:00,100,checkout
690,07:51:00,101,entrance
691,07:52:00,101,dairy
692,07:53:00,101,dairy
693,07:54:00,101,dairy
694,07:55:00,101,dairy
695,07:56:00,101,dairy
696,07:57:00,101,dairy
697,07:58:00,101,dairy
698,07:59:00,101,dairy
699,08:00:00,101,dairy
700,08:01:00,101,dairy
701,08:02:00,101,dairy
702,08:03:00,101,checkout
703,07:51:00,102,entrance
704,07:52:00,102,fruit
705,07:53:00,102,checkout
706,07:52:00,103,entrance
707,07:53:00,103,spices
708,07:54:00,103,spices
709,07:55:00,103,spices
710,07:56:00,103,drinks
711,07:57:00,103,drinks
712,07:58:00,103,drinks
713,07:59:00,103,drinks
714,08:00:00,103,drinks
715,08:01:00,103,checkout
716,07:52:00,104,entrance
717,07:53:00,104,dairy
718,07:54:00,104,dairy
719,07:55:00,104,dairy
720,07:56:00,104,dairy
721,07:57:00,104,dairy
722,07:58:00,104,dairy
723,07:59:00,104,dairy
724,08:00:00,104,checkout
725,07:53:00,105,entrance
726,07:54:00,105,dairy
727,07:55:00,105,dairy
728,07:56:00,105,dairy
729,07:57:00,105,fruit
730,07:58:00,105,fruit
731,07:59:00,105,checkout
732,07:53:00,106,entrance
733,07:54:00,106,fruit
734,07:55:00,106,fruit
735,07:56:00,106,drinks
736,07:57:00,106,checkout
737,07:54:00,107,entrance
738,07:55:00,107,spices
739,07:56:00,107,checkout
740,07:54:00,108,entrance
741,07:55:00,108,dairy
742,07:56:00,108,checkout
743,07:55:00,109,entrance
744,07:56:00,109,drinks
745,07:57:00,109,drinks
746,07:58:00,109,drinks
747,07:59:00,109,drinks
748,08:00:00,109,drinks
749,08:01:00,109,drinks
750,08:02:00,109,drinks
751,08:03:00,109,drinks
752,08:04:00,109,drinks
753,08:05:00,109,drinks
754,08:06:00,109,drinks
755,08:07:00,109,dairy
756,08:08:00,109,dairy
757,08:09:00,109,dairy
758,08:10:00,109,dairy
759,08:11:00,109,dairy
760,08:12:00,109,dairy
761,08:13:00,109,dairy
762,08:14:00,109,dairy
763,08:15:00,109,checkout
764,07:55:00,110,entrance
765,07:56:00,110,spices
766,07:57:00,110,spices
767,07:58:00,110,drinks
768,07:59:00,110,drinks
769,08:00:00,110,drinks
770,08:01:00,110,checkout
771,07:56:00,111,entrance
772,07:57:00,111,fruit
773,07:58:00,111,fruit
774,07:59:00,111,checkout
775,07:56:00,112,entrance
776,07:57:00,112,fruit
777,07:58:00,112,checkout
778,07:57:00,113,entrance
779,07:58:00,113,drinks
780,07:59:00,113,fruit
781,08:00:00,113,fruit
782,08:01:00,113,fruit
783,08:02:00,113,fruit
784,08:03:00,113,fruit
785,08:04:00,113,checkout
786,07:57:00,114,entrance
787,07:58:00,114,fruit
788,07:59:00,114,fruit
789,08:00:00,114,fruit
790,08:01:00,114,fruit
791,08:02:00,114,fruit
792,08:03:00,114,fruit
793,08:04:00,114,fruit
794,08:05:00,114,fruit
795,08:06:00,114,dairy
796,08:07:00,114,dairy
797,08:08:00,114,spices
798,08:09:00,114,spices
799,08:10:00,114,fruit
800,08:11:00,114,dairy
801,08:12:00,114,fruit
802,08:13:00,114,fruit
803,08:14:00,114,checkout
804,07:58:00,115,entrance
805,07:59:00,115,spices
806,08:00:00,115,fruit
807,08:01:00,115,fruit
808,08:02:00,115,spices
809,08:03:00,115,drinks
810,08:04:00,115,drinks
811,08:05:00,115,spices
812,08:06:00,115,spices
813,08:07:00,115,spices
814,08:08:00,115,dairy
815,08:09:00,115,dairy
816,08:10:00,115,dairy
817,08:11:00,115,fruit
818,08:12:00,115,fruit
819,08:13:00,115,checkout
820,07:58:00,116,entrance
821,07:59:00,116,drinks
822,08:00:00,116,drinks
823,08:01:00,116,drinks
824,08:02:00,116,drinks
825,08:03:00,116,drinks
826,08:04:00,116,dairy
827,08:05:00,116,dairy
828,08:06:00,116,dairy
829,08:07:00,116,dairy
830,08:08:00,116,dairy
831,08:09:00,116,dairy
832,08:10:00,116,dairy
833,08:11:00,116,checkout
834,07:59:00,117,entrance
835,08:00:00,117,fruit
836,08:01:00,117,checkout
837,07:59:00,118,entrance
838,08:00:00,118,fruit
839,08:01:00,118,fruit
840,08:02:00,118,checkout
841,08:00:00,119,entrance
842,08:01:00,119,dairy
843,08:02:00,119,dairy
844,08:03:00,119,dairy
845,08:04:00,119,dairy
846,08:05:00,119,checkout
847,08:00:00,120,entrance
848,08:01:00,120,fruit
849,08:02:00,120,dairy
850,08:03:00,120,spices
851,08:04:00,120,checkout
852,08:01:00,121,entrance
853,08:02:00,121,spices
854,08:03:00,121,spices
855,08:04:00,121,checkout
856,08:01:00,122,entrance
857,08:02:00,122,dairy
858,08:03:00,122,dairy
859,08:04:00,122,dairy
860,08:05:00,122,dairy
861,08:06:00,122,dairy
862,08:07:00,122,dairy
863,08:08:00,122,dairy
864,08:09:00,122,dairy
865,08:10:00,122,dairy
866,08:11:00,122,dairy
867,08:12:00,122,dairy
868,08:13:00,122,dairy
869,08:14:00,122,spices
870,08:15:00,122,checkout
871,08:02:00,123,entrance
872,08:03:00,123,fruit
873,08:04:00,123,checkout
874,08:02:00,124,entrance
